"Date","Internal","Outside","Total"
"2017-01",2053704,663194,2716898
"2017-02",2026351,681846,2708197
"2017-03",2091940,600597,2692537
"2017-04",2578476,571568,3150044
"2017-05",2571546,554434,3125980
"2017-06",2370252,567056,2937308
"2017-07",2407137,649092,3056229
"2017-08",2350518,669337,3019855
"2017-09",2330288,629230,2959518
"2017-10",2377352,626813,3004165
"2017-11",2141198,659561,2800759
"2017-12",1980147,699830,2679977
"2018-01",2017271,748403,2765674
"2018-02",1777904,667257,2445161
"2018-03",1932925,694856,2627781
"2018-04",2388887,694588,3083475
"2018-05",2393960,705766,3099726
"2018-06",2309829,702523,3012352
"2018-07",2124020,730492,2854512
"2018-08",2295732,780208,3075940
"2018-09",2147817,674286,2822103
"2018-10",2282059,746026,3028085
"2018-11",2056213,713490,2769703
"2018-12",1885130,756197,2641327
"2019-01",1978543,833693,2812236
"2019-02",1976450,791315,2767765
"2019-03",2039271,787727,2826998
"2019-04",2274696,750766,3025462
"2019-05",2361376,796261,3157637
"2019-06",2273383,806674,3080057
"2019-07",2183425,822456,3005881
"2019-08",2433224,780171,3213395
"2019-09",2062868,609482,2672350
"2019-10",2485469,675968,3161437
"2019-11",1538021,413059,1951080
"2019-12",0,0,0
