"Time","Internal_num","Outside_num","Total"
"01시",0,0,0
"02시",0,0,0
"03시",0,0,0
"04시",0,0,0
"05시",0,0,0
"06시",0,0,0
"07시",2824,179,3003
"08시",4415,1286,5701
"09시",4199,1721,5920
"10시",4341,720,5061
"11시",4246,1653,5899
"12시",4968,1135,6103
"13시",3379,1028,4407
"14시",4725,319,5044
"15시",4342,1262,5604
"16시",4916,414,5330
"17시",3971,825,4796
"18시",4890,370,5260
"19시",4379,782,5161
"20시",6029,1084,7113
"21시",3283,782,4065
"22시",1879,1596,3475
"23시",0,2381,2381
"24시",0,193,193
"01시",0,0,0
"02시",0,0,0
"03시",0,0,0
"04시",0,0,0
"05시",0,0,0
"06시",0,0,0
"07시",2832,411,3243
"08시",4017,1396,5413
"09시",3993,2739,6732
"10시",4961,1774,6735
"11시",3810,1650,5460
"12시",4522,1307,5829
"13시",3433,1317,4750
"14시",4095,798,4893
"15시",4169,934,5103
"16시",4953,796,5749
"17시",3518,1043,4561
"18시",4526,403,4929
"19시",4458,1021,5479
"20시",5529,1160,6689
"21시",2728,1060,3788
"22시",1586,1586,3172
"23시",0,4405,4405
"24시",0,325,325
"01시",0,0,0
"02시",0,0,0
"03시",0,0,0
"04시",0,0,0
"05시",0,0,0
"06시",0,0,0
"07시",3475,0,3475
"08시",4928,2173,7101
"09시",4577,2525,7102
"10시",4799,1505,6304
"11시",4626,1814,6440
"12시",5239,1329,6568
"13시",4091,1424,5515
"14시",5730,752,6482
"15시",4753,1126,5879
"16시",5679,930,6609
"17시",4371,705,5076
"18시",5113,128,5241
"19시",4365,967,5332
"20시",4986,1187,6173
"21시",2645,707,3352
"22시",1362,1280,2642
"23시",0,4556,4556
"24시",0,171,171
"01시",0,0,0
"02시",0,0,0
"03시",0,0,0
"04시",0,0,0
"05시",0,0,0
"06시",0,0,0
"07시",4088,0,4088
"08시",4931,1126,6057
"09시",4665,2225,6890
"10시",5614,1546,7160
"11시",4328,1049,5377
"12시",4836,1376,6212
"13시",3835,1659,5494
"14시",5270,1095,6365
"15시",4623,807,5430
"16시",5433,808,6241
"17시",3986,857,4843
"18시",4459,260,4719
"19시",4598,883,5481
"20시",5046,868,5914
"21시",2989,943,3932
"22시",1800,1489,3289
"23시",0,3062,3062
"24시",0,85,85
"01시",0,0,0
"02시",0,0,0
"03시",0,0,0
"04시",0,0,0
"05시",0,0,0
"06시",0,0,0
"07시",3244,0,3244
"08시",5331,1382,6713
"09시",4951,2460,7411
"10시",4308,1679,5987
"11시",4391,1687,6078
"12시",5111,1101,6212
"13시",3746,1531,5277
"14시",5163,659,5822
"15시",4559,1367,5926
"16시",6100,991,7091
"17시",4380,879,5259
"18시",6397,268,6665
"19시",4418,1065,5483
"20시",6386,891,7277
"21시",3905,1446,5351
"22시",2564,1914,4478
"23시",0,2626,2626
"24시",0,93,93
"01시",0,0,0
"02시",0,0,0
"03시",0,0,0
"04시",0,0,0
"05시",0,0,0
"06시",0,0,0
"07시",3356,0,3356
"08시",4077,1023,5100
"09시",4960,1742,6702
"10시",5408,2252,7660
"11시",4417,1258,5675
"12시",4786,815,5601
"13시",4655,1614,6269
"14시",5648,802,6450
"15시",5810,1080,6890
"16시",5603,1014,6617
"17시",5353,1153,6506
"18시",5219,351,5570
"19시",4824,891,5715
"20시",6166,1162,7328
"21시",3498,1215,4713
"22시",2992,1657,4649
"23시",0,2505,2505
"24시",0,30,30
"01시",0,0,0
"02시",0,0,0
"03시",0,0,0
"04시",0,0,0
"05시",0,0,0
"06시",0,0,0
"07시",4058,0,4058
"08시",5332,1316,6648
"09시",5715,1858,7573
"10시",6009,1699,7708
"11시",4677,883,5560
"12시",5047,1322,6369
"13시",4450,1445,5895
"14시",5601,811,6412
"15시",4956,823,5779
"16시",5857,812,6669
"17시",3608,936,4544
"18시",5530,0,5530
"19시",3337,1114,4451
"20시",4929,986,5915
"21시",3360,772,4132
"22시",1854,1537,3391
"23시",0,2637,2637
"24시",0,44,44
"01시",0,0,0
"02시",0,0,0
"03시",0,0,0
"04시",0,0,0
"05시",0,0,0
"06시",0,0,0
"07시",3218,0,3218
"08시",4754,1390,6144
"09시",4654,2360,7014
"10시",4831,1056,5887
"11시",4681,1711,6392
"12시",4791,988,5779
"13시",3475,1535,5010
"14시",5286,399,5685
"15시",4672,1183,5855
"16시",5267,820,6087
"17시",3953,821,4774
"18시",5413,413,5826
"19시",4252,960,5212
"20시",6187,1545,7732
"21시",3644,1106,4750
"22시",1780,1766,3546
"23시",0,2487,2487
"24시",0,154,154
"01시",0,0,0
"02시",0,0,0
"03시",0,0,0
"04시",0,0,0
"05시",0,0,0
"06시",0,0,0
"07시",3789,0,3789
"08시",4652,1667,6319
"09시",4675,2662,7337
"10시",5513,1799,7312
"11시",4782,1577,6359
"12시",5076,1284,6360
"13시",4160,1797,5957
"14시",5263,857,6120
"15시",4645,852,5497
"16시",5368,847,6215
"17시",4474,1050,5524
"18시",4918,262,5180
"19시",4490,893,5383
"20시",5531,1002,6533
"21시",3368,989,4357
"22시",2136,1331,3467
"23시",0,3176,3176
"24시",0,245,245
"01시",0,0,0
"02시",0,0,0
"03시",0,0,0
"04시",0,0,0
"05시",0,0,0
"06시",0,0,0
"07시",3373,0,3373
"08시",5211,1494,6705
"09시",4140,2056,6196
"10시",5095,1251,6346
"11시",4510,1249,5759
"12시",4473,1017,5490
"13시",3952,1181,5133
"14시",4894,492,5386
"15시",4223,1058,5281
