"Months","Passenger","INOUT"
"01월",6049518,"Internal"
"01월",2245290,"Outside"
"02월",5780705,"Internal"
"02월",2140418,"Outside"
"03월",6064136,"Internal"
"03월",2083180,"Outside"
"04월",7242059,"Internal"
"04월",2016922,"Outside"
"05월",7326882,"Internal"
"05월",2056461,"Outside"
"06월",6953464,"Internal"
"06월",2076253,"Outside"
"07월",6714582,"Internal"
"07월",2202040,"Outside"
"08월",7079474,"Internal"
"08월",2229716,"Outside"
"09월",6540973,"Internal"
"09월",1912998,"Outside"
"10월",7144880,"Internal"
"10월",2048807,"Outside"
"11월",5735432,"Internal"
"11월",1786110,"Outside"
